,name,country,region,state,varietal,price,description,merchant,address
455,Chappellet Cabernet Sauvignon Signature,United States,Napa County,California,Napa Valley,$74.99,"For more than four decades, the Chappellet family has been crafting world-class wines from fruit cultivated on the steep, rocky slopes of Napa Valley's renowned Pritchard Hill. As one of the first wineries to pioneer high-elevation hillside planting, and one of the few remaining great family-owned Napa Valley wineries, Chappellet Vineyard & Winery has influenced generations of vintners. ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
456,Finca Wolffer Rose,Argentina,,California,Napa Valley,$16.99,"
Wölffer Estate Vineyard is unquestionably a beautiful place. The creation of it spanned over three decades and required a creative vision, an ability to bring dreams to reality and a great deal of dedicated hard work by many people. Christian Wölffer possessed the vision and, with the meticulous care of his professional team, built this special place – Wölffer Estate Vineyard. ... click for more details
Sku: 70838  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
457,Fly By Pinot Noir,United States,,California,Pinot Noir,$14.99,"
Sonoma County, next door to Napa Valley and about 35 miles north of San Francisco, is America's most exciting Chardonnay region. Sonoma County is a diverse landscape for grape growing that, climatically, is strongly influenced by maritime variations. Cool nights and days that rarely get hot contribute to layers of oceanic fog that creep into Sonoma’s interior valleys. Ideal for growing ... click for more details
Sku: 71121  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
458,Gnarly Head 1924 Double Black Cabernet Sauvignon 2017,United States,,California,Cabernet Sauvignon,$12.99,"The saying at Gnarly Head goes ""Old Vines Make Bold Wines."" Cool labels don't hurt either and in a short period of time, Gnarly Head has become one of our top selling California wines. Inspired by the reds made popular during the Prohibition era, the 1924 Double Black Cabernet Sauvignon is sourced from select vineyards in Lodi. The 2017 vintage shows lots of concentration and power, due to the ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
459,Giapoza Cabernet Sauvignon,United States,,California,Cabernet Sauvignon,$16.99,"Michael Pozzan Winery is owned and operated by Michael and Mary Ann Pozzan, both natives of California. Michael was born and raised in the San Francisco Bay Area, but spent his summer months with his grandparents on their 35 acre vineyard estate in Sonoma County. Michael’s grandfather purchased the land in the town of Healdsburg after WWII and planted Zinfandel grapes which he sold to local ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
460,Espino Reserva Especial Pinot Noir 2018,Chile,,Valle Central,Pinot Noir,$17.99,"If there is one name in Burgundy synonymous with superlative, long-lasting Chablis then it is undoubtedly William Fevre. So how did he get to San Luis de Pirque, Chile? Fevre was hunting for terroir to produce Chardonnay outside of France. When he arrived in South America, he thought it odd the Chilean wine producers grew fruit down on the flat lands and he sought a parcel up higher in the ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
461,Decoy Blue Limited Pinot Noir,United States,Sonoma County,California,Pinot Noir,$37.99,"Crafted using grapes from the finest Pinot Noir regions on the Sonoma Coast, including the Russian River Valley, Green Valley, and Carneros, this alluring wine combines silky sophistication with a bright cool-climate energy. On the palate, soaring flavors of blackberry, red currant, cherry, cedar, and sweet baking spices glide to a long, vibrant finish....",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
462,Shannon Ranch Cabernet Sauvignon 2019,United States,,California,Cabernet Sauvignon,$15.99,"Crafted by Clay Shannon at the Shannon Ridge Winery, his other labels Cross Springs, Urgency, and High Valley have been customer favorites for the past five years. A certified sustainable producer, Shannon Ridge is as dedicated to being stewards of their land as they are to producing top-quality wines at affordable prices. Their Shannon Ranch label is small lot Cabernet Sauvignon that pays homage ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
463,Cakebread Cellars Cabernet Sauvignon,United States,Napa County,California,Napa Valley,$89.99,"Cakebread Chardonnay boasts an attractive light golden-straw color and fresh, lightly buttery, ripe golden apple, pear and citrus aromas, complemented by seductive vanilla and cinnamon/nutmeg scents from oak aging and subtle yeast tones from lees contact. Lush, concentrated and creamy on the palate, its ripe apple, melon, bright citrus and baking spice flavors culminate in a long, beautifully ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
464,Chateau Ste. Michelle Merlot Indian Wells,United States,Columbia Valley,Washington,Merlot,$21.99,"Founded in 1934, Chateau Ste. Michelle is the oldest winery in Washington with some of the most mature vineyards in the Columbia Valley. The winery combines Old World winemaking with New World innovation and is best known for its award-winning Riesling, Chardonnay, Merlot and Cabernet Sauvignon. 

Chateau Ste. Michelle receives some of the highest accolades in the industry, including ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
465,Raymond Vineyards Cabernet Sauvignon Reserve Selection,United States,Napa County,California,Napa Valley,$47.99,"Raymond Vineyards traces its roots through five generations of winemakers, and after thirty-five years of running the Beringer Winery, Roy Raymond Sr. together with his sons Walter and Roy Jr., decided that it was their time to put their family name on the bottle. The Raymond's quickly earned acclaim for their elegant wines that show a beautiful balance of finesse, power and complexity. ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
466,Blackhawk Merlot,United States,,California,Merlot,$10.99,"Blackhawk wines are an excellent example of quality to price ratio. Exemplary care is taken in every step of the wine making process to produce amazing wines at amazing prices. The belief is that everyone should be able to afford to drink great wine. The result is a wine that soars above the rest!We made a deliciously attractive wine that's ready to drink. This wine is soft, rich and full of ripe ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
467,The Prisoner Red Blend,United States,,California,Bordeaux Blend,$59.99,"Dave Phinney, owner, shares his story. “Orin Swift Cellars is the realization of a dream that began while studying abroad at the University of Florence in Florence, Italy. Like so many other college students I was at odds with what to do upon graduation. Fortunately for me, my roommate at the time was from an old wine family in the Sonoma valley and he had a great suggestion: ""Why not get into ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
468,Produttori  del Barbaresco Barbaresco,Italy,Barbaresco,Piedmont,Nebbiolo,$47.99,"Founded in 1958, the priest of the village of Barbaresco, recognizing that the only way small properties could survive was by joining their efforts, gathered together nineteen small growers and founded the Produttori del Barbaresco. From its humble beginnings making the first three vintages in the church basement, Produttori del Barbaresco has grown to a 52 member co-operative with 250 acres of ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
469,Descendientes de Palacios Petalos Bierzo,Spain,Bierzo,Castilla Y Leon,Mencia,$21.99,"One of 9 children of the owner of Rioja house Bodegas Palacios Remondo, Alvaro Palacio has broken away from Rioja to pursue an independent winemaking philosophy. His holdings in Bierzo total only 30ha, spread across some 200 tiny, steeply-sloped vineyard sites.A broad spectrum of aromas gradually emanate from the glass, with blackcurrant and cherry being joined by savory clove and licorice notes. ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
470,Black Box Sauvignon Blanc,Spain,,Castilla Y Leon,Sauvignon Blanc,$25.99,"Years ago while traveling in Europe, Black Box founder Ryan Sproule was amazed at how many Europeans drank premium-quality box wines. They favored freshness, value and convenience over tradition. By forgoing expensive bottles in favor of bag-in-a-box packaging, European vintners were providing their customers with better wines at better prices. 

When Ryan returned to the U.S., he was ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
471,Rengo Valpolicella Ripasso,Italy,Valpolicella,Veneto,Corvina,$20.99,"Ripasso is style of winemaking. It is a brilliant concept for increasing the amount of flavor and interest in basic Valpolicella. The Valpolicella wine is passed over unpressed but drained must of an Amarone. The bittersweet intensity of the Amarone is imparted, in a small way, to the basic Valpolicella, possibly with the help of a minor secondary refermentation.Solid core of currant and plum, ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
472,Beringer California Chardonnay,United States,,California,Chardonnay,$12.99,"The coordination between viticulture and winemaking teams is essential when choosing fruit, to achieve the optimum level of flavor and balance in the wine. The vineyards selected for the California Collection wines are bathed in warm sunshine the majority of the day, to yield the most ripe, sun-kissed fruit flavors in the grapes.This carefully crafted wine has subtle aromas of peach, apricot and ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
473,Pewsey Vale Riesling,Australia,Barossa,South Australia,Eden Valley,$17.99,"Pewsey Vale Vineyard was first planted to Riesling by Joseph Gilbert in 1847. The site was later purchased by well known grazier Geoff Angas-Parsons whom in 1961 invited his friend Wyndham Hill Smith to jointly develop the historic vineyard site. They believed the site could produce ""delicate Rieslings in the Germanic style"". 
With an altitude varying between 485 metres and 500 metres, ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
474,Newton Chard Unfiltered,United States,,California,Chardonnay,$59.99,"Peter and Su Hua Newton purchased one square mile of tumbling slopes high up on Spring Mountain overlooking St. Helena in 1977. The Estate was planted to Merlot, Cabernet Franc, Cabernet Sauvignon and Petit Verdot. Merlot thrives in a land which is rocky mixed with clay beneath the surface, while Cabernet Franc and Petit Verdot like an impoverished soil, and Cabernet Sauvignon is happy in stony ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
475,Badenhorst Secateurs Red,South Africa,Swartland,Coastal Region,Other Red,$16.99,"AA Badenhorst Family Wines are grown, made and matured on Kalmoesfontein farm in the Swartland appellation of South Africa. The 28ha of old bushvines grow in the Siebritskloof part of the Paardeberg mountain.

The property is owned by the dynamic and good looking cousins Hein and Adi Badenhorst. They are originally from Constantia. Their grandfather was the farm manager of Groot ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
476,Hitching Post Cork Dancer Pinot Noir,United States,,California,Pinot Noir,$32.99,"Hartley-Ostini Hitching Post wines are made by Buellton Hitching Post owner/chef Frank Ostini and his good friend, former fisherman Gray Hartley. Frank and Gray believe that great wines are made in the vineyard. Their winemaking philosophy is that they are caretakers who guide the wine into the bottle. As the wine matures it is simply left to gently age in the barrel. This minimalist approach ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
477,Chalk Hill Sonoma Coast Chardonnay,United States,Sonoma County,California,Chardonnay,$19.99,"An elegant, iconic wine estate producing world-class wines located in the Chalk Hill Appellation of Sonoma County. Since its founding in 1972 by famed attorney Fred Furth, Chalk Hill has been Sonoma County’s benchmark producer. For over three decades the winery has produced exceptional wines that have received high acclaim from the trade, press and consumers. Nowhere else will you find such ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
478,Bota Box Pinot Noir,United States,,California,Pinot Noir,$21.99,"Premium wine in a box? You bet! Bota Box produces premium California wine in 3-liter box and 500ml Tetra Pak, both made from environmentally-friendly packaging. Bota Box 3L is packaged in 100% recyclable, unbleached, post-consumer fiber printed with soy-based inks. Using state of the art FlexTap™ technology, our wine is kept fresh for up to six weeks after opening, allowing consumers to enjoy a ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
479,Chateau de Fleurie Fleurie,France,Beaujolais,Burgundy,Fleurie,$21.99,"The Château de Fleurie, property of Chantal and Anders Boisen, dominates a beautiful vineyard owned by the Boisen and the Barbet families who are direct descendant of the 1st owner. It is a lovely small Château built in the 18th century. Under the winery a vaulted cellar holds an impressive store of oak barrels. Situated in the heart of the village, the Château dominates the vineyard and has ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
480,Melville Estate Chardonnay,United States,,California,Chardonnay,$31.99,"Ron Melville, a businessman, and the founder of Melville Vineyards, grew up with a love of gardening, a passion he shared with his father. Ron also developed a love of good wine and began collecting it during college. While he pursued a successful career in finance as a member of the Pacific Stock Exchange, he knew his love of gardening and wine would keep alive his dream to develop his own ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
481,Viña Palaciega Malbec 2017,Argentina,,California,Chardonnay,$13.99,"Vibrant fruit on the nose with a smooth, velvet-like finish on the palate. Carefully produced and hand-picked from vineyards of high altitude. This wine is a true expression or the terroir and style of Argentina....",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
482,Santa Cortina Pinot Grigio,Italy,,California,Chardonnay,$13.99,"
A great Italian Pinot Grigio has the perfect balance of bright aromas, big flavors and outstanding versatility with foods. While the top wine in the category is Santa Margherita Pinot Grigio, it sells for $20 per bottle! Compare and save with the Santa Cortina Pinot Grigio, crafted in the same part of Northern Italy. You'll be shocked at the value over Santa Margherita and if you prefer your  click for more details
Sku: 74509  
",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
483,Lauverjat Menetou Salon,France,,Loire,Chardonnay,$19.99,,Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
484,Blancat Estate Parcel Selection Malbec,Argentina,Mendoza,Cuyo,Malbec,$19.99,"95 Points from James Suckling, and the top rated wine under $15, this high elevation Malbec comes from Bodega Cuarto Dominio and Javier & Jorge Catena. Jorge is the brother of Nicolas Catena, owner of the top Argentine estate that bears the Catena name. Jorge sold his shares in the family winery and kept the vineyards he considered the finest in order to pursue a smaller wine project: Cuarto ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
485,Excelsior Cabernet Sauvignon,South Africa,,Cuyo,Cabernet Sauvignon,$9.99,"The picturesque Robertson Valley is nestled between two rugged mountain ranges near the Breede (""Broad"") River. It was here that the De Wet family purchased a large tract of land in 1859, subsequently channeling the river and planting the region’s first vineyards. Today the estate is owned by Freddie and Peter De Wet, the fourth and fifth generation of De Wets to farm the property. ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
486,Bogle Vineyards Merlot,United States,Yolo County,California,Clarksburg,$11.99,"Chris Smith, Director of Winemaking at Bogle, graduated from California State University, Fresno with a degree in Enology. Chris spent four years on the winemaking staff at Jordan where he focused on traditional production techniques for both Chardonnay and Cabernet Sauvignon. Taking a position at Kendall-Jackson as an assistant winemaker, he was able to fine-tune methods for producing wines from ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
487,Mouton Cadet Bordeaux Blanc,France,,Bordeaux,"Semillon,Sauvignon Blanc",$14.99,"Following a poor vintage in 1927, Baron Philippe de Rothschild created the second wine label Carruades de Mouton, though this was not viewed as a success. After the acclaimed vintages of 1928 and 1929, the vintage of 1930 and the following two harvests were dire,and the wine de Rothschild felt was not worthy of the Mouton-Rothschild name was this time named Mouton Cadet. ""Cadet"" refers to de ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
488,Louis Jadot Chardonnay,France,Bourgogne,Burgundy,Chardonnay,$19.99,"From the start, Maison Louis Jadot has always accorded equal importance to each of Burgundy's appellations, from Grand Crus right through to regional wines. Our aim is to express the true nature of Burgundy through our wines, a terroir that can be both proud of its past and optimistic about its future.
In order to produce wines that celebrate their terroir, Jacques Lardière works with a ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
489,Gallo Vermouth Sweet,United States,,California,Non-Varietal White Blend,$7.99,"Italian in style, Gallo Sweet Vermouth is infused with a combination of aromatics and if often enjoyed as an aperitif, mixer, or as an ingredient in dessert recipes.Sweet and complete with a fine mixture of herbs this is the perfect vermouth for all your needs.Since brothers Ernest and Julio Gallo began to turn their dream into reality over 75 years ago, the roots of the Gallo family tree have ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
490,Ruffino Orvieto Classico,Italy,Orvieto,Lazio,White Italian Blend,$11.99,"The Ruffino Winery was founded in 1877. With its long history , Ruffino is a living symbol of  the quality progress which the entire Italian wine sector has undertaken through the twentieth century. 
Ruffino's production philosophy is based on two leading concepts: The quality of its wines and the expression of the territories where these wines are produced - a winemaking art which ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
491,Chateau Ste Michelle Merlot,United States,Columbia Valley,Washington,Merlot,$18.99,"Founded in 1934, Chateau Ste. Michelle is the oldest winery in Washington with some of the most mature vineyards in the Columbia Valley. The winery combines Old World winemaking with New World innovation and is best known for its award-winning Riesling, Chardonnay, Merlot and Cabernet Sauvignon. 

Chateau Ste. Michelle receives some of the highest accolades in the industry, including ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
492,Sterling Vineyards Chardonnay Vintner's Collection,United States,,California,Chardonnay,$14.99,"Sterling Vineyards sources wines of exceptional quality from the staggering slopes of Diamond Mountain Ranch, the flat valley floor of Three Palms Vineyard, and many other diverse terroirs throughout Napa Valley and other select California regions. The Sterling Vineyards winemaking team believes that our wines should express true varietal character. We craft each wine with this in mind, choosing ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
493,Marques de Caceres Rioja Crianza,Spain,,Rioja,Tempranillo,$14.99,"Founded in 1970, with its first release in 1975, Marqués de Cáceres has rapidly become the leader in the renaissance of Rioja. The bodega was established by Henri Forner, whose family has been active in the wine business for generations. The winery is named for a Spanish peer who was also an investor in the winery and a friend of Henri Forner.This, rich full-bodied wine is made only in excellent ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
494,Hess Appellation Cabernet Sauvignon,United States,North Coast,California,Cabernet Sauvignon,$21.99,"David Guffy, director of winemaking at Hess Estates, is in the vineyards year-round. ""I learned very early that I have to walk the vines. During harvest, I continually taste the grapes to keep an eye on the maturity of flavors and tannins to ensure the best expression of a particular vineyard. As a student I loved Cabernet, especially from Napa Valley and it inspired me to go into winemaking. Now,",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
495,Graff Piesporter Michaelsberg Spatlese,Germany,Mittel Mosel,Mosel-Saar-Ruwer,Piesport,$14.99,"The winery was founded by Carl Graff in 1860. It was purchased by Valckenberg in 1969, who maintains the commitment to producing sweet style Rieslings from famous Mosel vineyard sites, such as Urziger Wurzgarten and Graacher Himmelreich. Tilman Quiens, winemaker for Liebfrauenstift, oversees the production of Graff Rieslings, ensuring they embody the typical racy sweetness the Mosel region is ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
496,Graff Riesling Kabinett,Germany,,Mosel-Saar-Ruwer,Riesling,$12.99,"The winery was founded by Carl Graff in 1860. It was purchased by Valckenberg in 1969, who maintains the commitment to producing sweet style Rieslings from famous Mosel vineyard sites, such as Urziger Wurzgarten and Graacher Himmelreich. Tilman Quiens, winemaker for Liebfrauenstift, oversees the production of Graff Rieslings, ensuring they embody the typical racy sweetness the Mosel region is ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
497,Block 210 Oakville Sauvignon Blanc 2018,United States,Napa County,California,Oakville,$19.99,"Hints of honey suckle, lavender and papaya, with a lingering finish reminiscent of lemon grass.
""A delightful Sauvignon Blanc from Oakville! Complex and vibrant with a mouthwatering mix of fig, green apple, melon, lemon-lime and mango flavors on a silky frame. Wonderful balance and focus on a refreshing, luscious finish."" The Wine Buyer, 93 ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
498,Long Barn Chardonnay 2018,United States,,California,Chardonnay,$12.99,"We make wine in a simple building. It humbles us to reflect on its age, being built in a time when the valley’s dairy cows and prune trees were more well-known than its grapes. With this reminder, we give thanks for all that we have…and make wines with all that we are.One of the best values of a California Chardonnay for under $10.00. 
Peach, pear and nectarine give this a complex mix of flavors,",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
499,Tapiz Alta Collection Malbec 2017,Argentina,Mendoza,Cuyo,Uco Valley,$19.99,"The Sommelier Journal said Tapiz is a slam dunk winery to follow, when in 2012 head winemaker Fabian Valenzuela was joined by Jean-Claude Berrouet. Jean Claude is the recently-retired winemaker of Chateau Petrus, having presided over 44 vintages at this revered Bordeaux winery. Patricia Ortiz, who owns and manages with winery was thrilled that he chose to work with them exclusively in Argentina. ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
500,Gigognan Cotes du Rhone 2018,France,Cotes du Rhone,Rhone,Red Rhone Blend,$15.99,"Full-bodied, silky & elegant, the 2018 vintage of the Gigognan Cotes du Rhone is a must have for all French wine lovers! A relatively young estate for the Southern Rhone, Chateau Gigognan was established in 1996 by husband and wife team Anne and Jacques Callet. While the winery itself is going through a rebirth, the property and vineyards have been in existence since the 17th century. Located ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
501,Siduri Willamette Pinot Noir,United States,Willamette Valley,Oregon,Pinot Noir,$27.99,"Siduri is named for the Babylonian Goddess of wine, who, in Babylonian mythology, held the wine of eternal life. Siduri is also the realization of a dream we have shared since we met 15 years ago, in our native Texas, and realized our mutual love of Pinot Noir. 

Buoyed by the belief that we could become winemakers and make our own Pinot Noir, we left our families and jobs in Texas and ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
502,Quinta Do Portal Rose 2019,Portugal,,Oregon,Red Portugese Blend,$16.99,"The epicenter of value wines is once again Portugal, with more ""Best Buy"" distinctions than France, Spain, South America and even the United States. For the price, these wines rarely disappoint. Such is the case for Quinta do Portal. We've been big fans of this winery for the last five years, and their Rose is one of our most popular at Bottle King. Their 2019 Vintage Rose has a dry, serious and ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
503,Chalk Hill Sonoma Coast Pinot Noir,United States,,California,Pinot Noir,$22.99,"Chalk Hill Estate Vineyards and Winery was purchased recently by Bill Foley, proprietor of Foley Family Wines, who will continue the time-honored traditions that Fred Furth began. Founded in 1972 by Fred Furth, the Chalk Hill Estate encompasses 280 acres of carefully positioned vineyards, including the valley floor, hillsides, and ridge tops of a 1300 acre estate. Perpetuating the time-honored ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
504,Lillet Aperitif Rouge,France,,Bordeaux,Non-Varietal White Blend,$24.99,"Lillet, the aperitif from Bordeaux, was created in 1887 by brothers Paul and Raymond Lillet, wine merchants in Podensac in the Gironde region of France. It was originally called Kina Lillet, in reference to quinine, and its reputation soon flourished in the region. Lillet was launched in Paris in 1901.The 1930s marked the height of Lillet's success on the French market. At the end of the war, New ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
505,Roederer Estate Brut,United States,Mendocino County,California,Anderson Valley,$29.99,"Roederer Estate Brut is the first California sparkling wine to be produced by Champagne Louis Roederer, building upon the 200-year tradition of fine winemaking of this family owned company. Roederer's unique winemaking style is based on two elements: ownership of its own vineyards and the addition of oak-aged reserve wines to each year's blend or cuvée. 
The same winemaking philosophy ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
506,Rombauer Zinfandel,United States,Napa County,California,Saint Helena,$34.99,"Rombauer Vineyards was founded in 1982 by Koerner and Joan Rombauer and sits on a tree covered knoll overlooking the Napa Valley. The winery features caves that extend for over a mile into the hillside. The caves provide a constant temperature and humidity which result in optimum conditions for aging our wines. 
Rombauer wines are consistently ranked high in the wine trade journals. Many ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
507,Frey Vineyards Merlot Organic,United States,Mendocino County,California,Merlot,$18.99,"Frey is America’s largest and oldest organic vineyard. Family-owned and operated, today Frey has the third generation helping with the production of fine organic wines in a tradition of sustainability that started 30 years ago. The vineyards and winery are nestled on the slopes of the Redwood Valley A.V.A. (American Viticultural Area) in Mendocino County, California, at the headwaters of the ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
508,Kendall Jackson Pinot Noir Vintner's Reserve California,United States,,California,Pinot Noir,$19.99,"Jess Jackson of Kendall Jackson Winery takes great pride in being a family owned and operated business. He believed that, ""being a family-owned winery absolutely affects our winemaking. It affords us the luxury to take the long view. We can take risks and grow our grapes in mountain and hillside vineyards- even though it is more difficult for both the farmer and the vine. But grapes grown on ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
509,Rex Hill Pinot Noir,United States,,California,Pinot Noir,$34.99,"Rex Hill Vineyards was founded in 1982 by Paul Hart and Jan Jacobsen. The first crush was in 1983, with early grapes purchased from ten different sites. From the beginning, great emphasis has been placed on the quality of the grapes. Rex Hill has a production goal of 40,000 cases. Currently, the winery produces about 50% Pinot Noir, 25% Chardonnay and 15% Pinot Gris, with smaller quantities of ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
510,William Hill Chardonnay Napa Valley,United States,Napa County,California,Napa Valley,$30.99,"Since 1978, William Hill Winery has produced wines from the cool southern regions of Napa Valley, including the Silverado Bench and the Carneros districts. The winery specializes in Chardonnay and Cabernet Sauvignon, producing Reserve and Napa Valley bottlings. Chardonnay grown in the cool climate and well-drained soils of Carneros typically offer brighter, more intense flavors and higher acidity ",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
511,Heitz Napa Valley Cabernet Sauvignon,United States,Napa County,California,Napa Valley,$69.99,"Heitz Wine Cellars is proud to be part of the time-honored tradition of fine winemaking in the Napa Valley. Founded by Joe and Alice Heitz in 1961, the winery is now managed by the second generation: David Heitz and Kathleen Heitz Myers. Heitz Cellars is best known for its vineyard designated Cabernet Sauvignon: Bella Oaks, Trailside Vineyard and Martha's Vineyard.Well-integrated with lovely ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
512,Murphy-Goode California Sauvignon Blanc The Fume,United States,,California,Sauvignon Blanc,$14.99,"Murphy Goode's North Coast Sauvignon Blanc is an aromatic white wine offering superb balance. Each vintage is artfully blended by Winemaker Dave Ready Jr. to exhibit fresh fruit flavors and juicy acidity. This Sauvignon Blanc has flavors and aromas of tangerine, peach, and pineapple. The perfect pairing for fresh oysters on the half shell or light seafood dishes.Murphy Goode Fumé is made of ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
513,Monte Antico Rosso,Italy,,Tuscany,Red Italian Blend,$13.99,"Monte Antico means “ancient mountain” in Italian. In the world of fine wines, a unique combination of quality, reliability and value since 1977, this label belongs to Neil & Maria Empson, who launched the Super Tuscan five years after founding the Neil Empson Selections. It was their special affinity to the heartland of Italy that led them to make their very own mark on Tuscan soil: with the ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
514,Black Box Chardonnay,United States,,California,Chardonnay,$24.99,"Years ago while traveling in Europe, Black Box founder Ryan Sproule was amazed at how many Europeans drank premium-quality box wines. They favored freshness, value and convenience over tradition. By forgoing expensive bottles in favor of bag-in-a-box packaging, European vintners were providing their customers with better wines at better prices. 

When Ryan returned to the U.S., he was ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
515,Yalumba Y Cab Sauv,Australia,,California,Cabernet Sauvignon,$14.99,,Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
516,Las Brisas Rueda White,Spain,Rueda,Castilla Y Leon,Verdejo,$11.99,"Javier Alen, a well respected Galician producer of white wine (Viña Mein), Victor Rodriguez, the former director of the highly acclaimed magazine Vino y Gastronomia, and Eulogio Calleja, one of the most respected winemakers in the region of Rueda, are the owners of this winery. Their goal is to produce a light to medium bodied, crisp and fruity white wine which is the finest expression of the ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
517,Barefoot Chardonnay,United States,,California,Chardonnay,$9.99,"Barefoot is honored to be the most awarded wine brand in the world for its innovative approach to winemaking and diverse collection of delicious, refreshing wines.

Barefoot Chardonnay is the only white wine in the Barefoot portfolio that spends time on oak. Beautifully balanced, Barefoot Chardonnay is rich with refreshing apple aromas and flavors with layers of vanilla which lingers ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
518,Avignonesi Vino Nobile di Montepulciano,Italy,Montepulciano,Tuscany,Merlot,$32.99,"In 1309 pope Clement V transferred the papal residence from Rome to Avignon, France. In 1377, when pope Gregory XI moved the papal residence back to Rome, some noble families of Avignon left France to follow him. It was at that time, in Italy, that one of those families became known as Avignonesi - probably to simplify an otherwise difficult, foreign name. Soon the Avignonesi family separated ...",Chatham BottleKing,"41 Watchung Ave, Chatham, NJ, 07928"
